huc,tier,global_coverage,hscc_coverage,n_test_basins_in_tier
03,semi_arid,0.718145085147701,0.8194180977252314,14
03,humid,0.8378143142778393,0.7985344751677464,78
04,semi_arid,0.7351457070213183,0.8109133581067866,5
04,humid,0.8657791444839519,0.8234792931971303,26
05,humid,0.8623506979456647,0.8161644941603798,45
06,humid,0.9682912792976301,0.9419704426506212,17
07,semi_arid,0.6105026403285743,0.755818501858009,2
07,humid,0.759335785442547,0.6848009185946007,31
08,humid,0.853288230485299,0.8101452175118289,12
09,dry,0.7265793076471738,0.8702327400743204,2
09,semi_arid,0.7557960815371088,0.8672004863820563,5
09,humid,0.9115000977899472,0.8651476628202621,2
10,dry,0.4257633567924605,0.6124995557795185,23
10,semi_arid,0.6694210799973933,0.7861318651546688,22
10,humid,0.56683436547466,0.5090965222424674,9
10,snow,0.9547070329804108,0.7971553642174237,16
11,dry,0.7488493952906928,0.8887071298055008,9
11,semi_arid,0.645900541569311,0.7670928071815222,4
11,humid,0.7550994581286455,0.6981857088620702,17
11,snow,0.9665558380598475,0.8574222569919813,1
12,dry,0.32906085065282586,0.4893383300712647,18
12,semi_arid,0.46172745941717186,0.6803980050850773,16
12,humid,0.5901949279614055,0.5509485624877762,3
13,dry,0.8987874046548014,0.9932524936436534,2
13,snow,0.9455896733815763,0.8748679835712888,5
14,dry,0.0013690592607079992,0.12614903187952278,1
14,snow,0.7749037911972103,0.5941767979194233,16
15,dry,0.6462287896826672,0.7559110215101451,18
15,snow,0.9786817915118325,0.9436729904165851,1
16,dry,0.5027055218723515,0.6945042049677294,3
16,snow,0.8423097726747606,0.5909135718263286,15
17,semi_arid,0.5353021709368277,0.5515353021709368,2
17,humid,0.8477576580599214,0.7876777286162907,53
17,snow,0.9053990604001032,0.7750764063549922,36
18,dry,0.31263446117739097,0.4219025034226482,16
18,semi_arid,0.5413930876477328,0.7298482858819256,7
18,humid,0.7960916617771693,0.7529662950648675,12
18,snow,0.670134950127127,0.4696264424017212,5
